???????: 1, ??????: ???????? ??????? ?, ?????????: ?. ?????????, ?????: ???????????, ??????: -, ???: 11-13, ???????: ?23, ?????: ???????, 
???????: 5, ??????: ????????????, ?????????: ?. ???????, ?????: ???????????, ??????: -, ???: 15-17, ???????: ?32, ?????: ???????, 
???????: 5, ??????: ????????????, ?????????: ?. ???????, ?????: ???????????, ??????: -, ???: 15-17, ???????: ???-????/??? 3?? ????????, ?????: ??????, 
???????: 5, ??????: ?????????? ???? Bayes, ?????????: ?. ???????????, ?????: ???????????, ??????: -, ???: 13-15, ???????: ?32, ?????: ???????, 
???????: 5, ??????: ?????????? ???? Bayes, ?????????: ?. ???????????, ?????: ???????????, ??????: -, ???: 9-11, ???????: ?43, ?????: ?????????, 
???????: 5, ??????: ??????????? ??????? ?????????, ?????????: ?. ???????, ?????: ???????????, ??????: -, ???: 9-11, ???????: A42, ?????: ?????, 
???????: 5, ??????: ??????????? ??????? ?????????, ?????????: ?. ???????, ?????: ???????????, ??????: -, ???: 11-13, ???????: ?43, ?????: ??????, 
???????: 7, ??????: ???????????? ??, ?????????: ?. ????????, ?????: ???????????, ??????: -, ???: 11-13, ???????: ?43, ?????: ???????, 
???????: 7, ??????: ???????????? ??, ?????????: ?. ????????, ?????: ???????????, ??????: -, ???: 13-15, ???????: ?43, ?????: ???????, 
???????: 7, ??????: ????????????? ??, ?????????: ????, ?????: ???????????, ??????: -, ???: 17-19, ???????: ?32, ?????: ???????, 
???????: 7, ??????: ????????????? ??, ?????????: ????, ?????: ???????????, ??????: -, ???: 11-13, ???????: ?43, ?????: ???????, 
???????: 7, ??????: ????????????? ??, ?????????: ????, ?????: ???????????, ??????: ????????????, ???: 9-11, ???????: ???-????/??? 3?? ????????, ?????: ??????, 
???????: 7, ??????: ?????? ?????? ??????????? & ???????????: ???????? ??? ?????? ?????? ?? ???????? ???? ??????????? ???, ?????????: ????, ?????: ???????????, ??????: -, ???: 9-11, ???????: ?43, ?????: ???????, 
???????: 7, ??????: ?????? ?????? ??????????? & ???????????: ???????? ??? ?????? ?????? ?? ???????? ???? ??????????? ???, ?????????: ????, ?????: ???????????, ??????: -, ???: 17-19, ???????: ?32, ?????: ?????????, 
???????: 7, ??????: ???????? ???? ????????????? ??????, ?????????: ??????????, ?????: ???????????, ??????: -, ???: 9-11, ???????: ?43, ?????: ???????, 
???????: 7, ??????: ???????? ???? ????????????? ??????, ?????????: ??????????, ?????: ???????????, ??????: -, ???: 13-15, ???????: ?32, ?????: ?????????, 
???????: 7, ??????: ?????? ???????????, ?????????: ?. ???????????, ?????: ???????????, ??????: -, ???: 13-15, ???????: ?43, ?????: ???????, 
???????: 7, ??????: ?????? ???????????, ?????????: ?. ???????????, ?????: ???????????, ??????: -, ???: 9-11, ???????: ?32, ?????: ?????????, 
???????: 7, ??????: ?????????? ??????, ?????????: ????, ?????: ???????????, ??????: -, ???: 15-17, ???????: ?32, ?????: ???????, 
???????: 7, ??????: ?????????? ??????, ?????????: ????, ?????: ???????????, ??????: -, ???: 11-13, ???????: ???-????/??? 3?? ????????, ?????: ??????, 
???????: 7, ??????: ??????????? ??????????? ??, ?????????: ?. ??????????????, ?????: ???????????, ??????: -, ???: 17-19, ???????: ?43, ?????: ?????, 
???????: 7, ??????: ??????????? ??????????? ??, ?????????: ?. ??????????????, ?????: ???????????, ??????: -, ???: 13-15, ???????: ?201, ?????: ??????, 
